k,coef,se,period,n_cells,n_clusters,subset
-3,-0.018012801614758805,0.009362609532922676,2022Q1,40713.0,479.0,all
-2,-0.0052032498842273945,0.007952909309036199,2022Q2,40713.0,479.0,all
-1,-0.0012408098610041684,0.007184871432031909,2022Q3,40713.0,479.0,all
0,0.0,0.0,2022Q4,,,all
1,-0.0025934172224616504,0.008105432222372911,2023Q1,40713.0,479.0,all
2,-0.0026106720838476568,0.008400385130279428,2023Q2,40713.0,479.0,all
3,0.0024993784134939917,0.0090630441141602,2023Q3,40713.0,479.0,all
4,0.009847400388774493,0.00986989245810187,2023Q4,40713.0,479.0,all
5,0.018315491013531738,0.010890875304704208,2024Q1,40713.0,479.0,all
6,0.017978666954187934,0.011283153933251307,2024Q2,40713.0,479.0,all
7,0.010948006586750552,0.011300670783787096,2024Q3,40713.0,479.0,all
8,0.018306287501656224,0.012397391031557393,2024Q4,40713.0,479.0,all
9,0.03334959271609067,0.012962820252059507,2025Q1,40713.0,479.0,all
10,0.038208110314656436,0.014573118156432011,2025Q2,40713.0,479.0,all
11,0.03330192151058825,0.015873384659716498,2025Q3,40713.0,479.0,all
12,0.040048033791200095,0.015718001808565175,2025Q4,40713.0,479.0,all
13,0.04602445215794894,0.01590391064538213,2026Q1,40713.0,479.0,all
14,0.0369446924929586,0.017769686193531434,2026Q2,40713.0,479.0,all
-3,-0.03102094822018463,0.015544632788815833,2022Q1,16691.0,269.0,young
-2,-0.022340990820834086,0.013360537973603525,2022Q2,16691.0,269.0,young
-1,-0.011489430889963525,0.012542458765019002,2022Q3,16691.0,269.0,young
0,0.0,0.0,2022Q4,,,young
1,0.004060394825892374,0.012058497844742156,2023Q1,16691.0,269.0,young
2,0.007816883933832662,0.012722478121863017,2023Q2,16691.0,269.0,young
3,0.018751312938921825,0.013369777790926593,2023Q3,16691.0,269.0,young
4,0.029282316919210374,0.013981513420320927,2023Q4,16691.0,269.0,young
5,0.030256644426555585,0.01649819948723054,2024Q1,16691.0,269.0,young
6,0.017563343645535977,0.017195114997639344,2024Q2,16691.0,269.0,young
7,0.009577201702277178,0.01852536450040169,2024Q3,16691.0,269.0,young
8,0.019719940863768413,0.019759632460171695,2024Q4,16691.0,269.0,young
9,0.02473892371182318,0.02203731909914183,2025Q1,16691.0,269.0,young
10,0.019083174871840556,0.021190940243971872,2025Q2,16691.0,269.0,young
11,0.03555844883180181,0.020579493261139954,2025Q3,16691.0,269.0,young
12,0.04011418942289149,0.021385569056126895,2025Q4,16691.0,269.0,young
13,0.03719114290846146,0.01975030007128212,2026Q1,16691.0,269.0,young
14,0.019610186861278727,0.023042589871439405,2026Q2,16691.0,269.0,young
-3,-0.013857669904017263,0.01046267147059407,2022Q1,24022.0,479.0,older
-2,0.0002709789183959598,0.009138912252386514,2022Q2,24022.0,479.0,older
-1,0.002032859441818549,0.0075586885037339634,2022Q3,24022.0,479.0,older
0,0.0,0.0,2022Q4,,,older
1,-0.0047188134282443875,0.009292664705133773,2023Q1,24022.0,479.0,older
2,-0.005941497757086436,0.00926060019517076,2023Q2,24022.0,479.0,older
3,-0.002691901371079179,0.009995907862879396,2023Q3,24022.0,479.0,older
4,0.00363939548071501,0.010936356272279414,2023Q4,24022.0,479.0,older
5,0.014501183970851378,0.011913125608359902,2024Q1,24022.0,479.0,older
6,0.01811133174513254,0.012400125047855827,2024Q2,24022.0,479.0,older
7,0.011385876409215068,0.012176110768065473,2024Q3,24022.0,479.0,older
8,0.01785473078945991,0.012603201976602377,2024Q4,24022.0,479.0,older
9,0.03610005862915209,0.013494978860739736,2025Q1,24022.0,479.0,older
10,0.044317099407013776,0.014768455857620159,2025Q2,24022.0,479.0,older
11,0.03258112949363607,0.01662699131034131,2025Q3,24022.0,479.0,older
12,0.040026902005756086,0.016323561821073546,2025Q4,24022.0,479.0,older
13,0.048846035008039315,0.01738539819014443,2026Q1,24022.0,479.0,older
14,0.0426749436135125,0.018341532566481307,2026Q2,24022.0,479.0,older
-3,0.0028856104448083397,0.033486260226053825,2022Q1,2244.0,31.0,country_ARG
-2,0.11091847415458922,0.029721618481012898,2022Q2,2244.0,31.0,country_ARG
-1,0.06026812671428479,0.047546426611055743,2022Q3,2244.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.034893422008753866,0.02692209510990711,2023Q1,2244.0,31.0,country_ARG
2,0.03500134082636448,0.03048351572094078,2023Q2,2244.0,31.0,country_ARG
3,0.027156377019155978,0.039744370785041706,2023Q3,2244.0,31.0,country_ARG
4,0.02189131806163222,0.027787610755258454,2023Q4,2244.0,31.0,country_ARG
5,0.05832632778694673,0.04442814692434931,2024Q1,2244.0,31.0,country_ARG
6,0.06133089445601002,0.0318130603459856,2024Q2,2244.0,31.0,country_ARG
