k,coef,se,period,n_cells,n_clusters,subset
-7,-0.00896149409690058,0.006858392054212351,2021Q1,40154.0,485.0,all
-6,0.0006980873531533084,0.006608364612197857,2021Q2,40154.0,485.0,all
-5,-0.001023169811399804,0.004685738903293981,2021Q3,40154.0,485.0,all
-4,0.003452250839624622,0.005882838800670299,2021Q4,40154.0,485.0,all
-3,0.0031987746302537027,0.004124560455249306,2022Q1,40154.0,485.0,all
-2,0.0038738244681871207,0.004078254004052072,2022Q2,40154.0,485.0,all
-1,-0.005058043776783493,0.002992981782360136,2022Q3,40154.0,485.0,all
0,0.0,0.0,2022Q4,,,all
1,-0.0017137247967493859,0.0034261945494529046,2023Q1,40154.0,485.0,all
2,-0.005816467726054636,0.0035644101154290314,2023Q2,40154.0,485.0,all
3,-0.013450555719359329,0.0037777311137276327,2023Q3,40154.0,485.0,all
4,-0.006050442756366839,0.004273619717692955,2023Q4,40154.0,485.0,all
5,-0.005927063062504263,0.0035854010924058185,2024Q1,40154.0,485.0,all
6,-0.009068939631927755,0.004395542067935009,2024Q2,40154.0,485.0,all
7,-0.009914792495310526,0.004094143948221308,2024Q3,40154.0,485.0,all
8,-0.013832585787070759,0.0043726080953117264,2024Q4,40154.0,485.0,all
9,-0.008741123694607002,0.004011906849862958,2025Q1,40154.0,485.0,all
10,-0.012399993124659541,0.004284758053083903,2025Q2,40154.0,485.0,all
11,-0.01011471718325652,0.004496298826994716,2025Q3,40154.0,485.0,all
12,-0.008516398727799232,0.0038547227545424737,2025Q4,40154.0,485.0,all
13,0.0009728939626844902,0.004292082047231432,2026Q1,40154.0,485.0,all
14,-0.01054290262701791,0.0045534412815141515,2026Q2,40154.0,485.0,all
-7,-0.025773184749874348,0.013131251396911875,2021Q1,15293.0,259.0,young
-6,-0.006841729565899424,0.012174757612963385,2021Q2,15293.0,259.0,young
-5,0.0024167050380785493,0.009128513351530337,2021Q3,15293.0,259.0,young
-4,0.004891939231893777,0.011675558737399009,2021Q4,15293.0,259.0,young
-3,0.012835820297397766,0.008388579554843657,2022Q1,15293.0,259.0,young
-2,0.004671318778362237,0.008678521605123926,2022Q2,15293.0,259.0,young
-1,-0.007591443495477401,0.008071439494418556,2022Q3,15293.0,259.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.004292146166539135,0.007883084267147566,2023Q1,15293.0,259.0,young
2,-0.015525503029355996,0.006326470268965579,2023Q2,15293.0,259.0,young
3,-0.016761304549286198,0.00981599948062598,2023Q3,15293.0,259.0,young
4,-0.014286807454953927,0.009361314722607955,2023Q4,15293.0,259.0,young
5,-0.013332842738725979,0.00783836675915988,2024Q1,15293.0,259.0,young
6,-0.012613105902330352,0.010211921418185273,2024Q2,15293.0,259.0,young
7,-0.01598107645969361,0.007965866501609058,2024Q3,15293.0,259.0,young
8,-0.013519100287502877,0.00860603609556118,2024Q4,15293.0,259.0,young
9,-0.01135355975696404,0.009609703581139151,2025Q1,15293.0,259.0,young
10,-0.021937274881543626,0.008026856955868904,2025Q2,15293.0,259.0,young
11,-0.01546162338067347,0.008003451931698479,2025Q3,15293.0,259.0,young
12,-0.013040473007954582,0.00910706433600218,2025Q4,15293.0,259.0,young
13,0.006647207259972862,0.010097540831494918,2026Q1,15293.0,259.0,young
14,-0.014972561599872309,0.010192478379686863,2026Q2,15293.0,259.0,young
-7,-0.0026070107123469803,0.005979950697295977,2021Q1,24861.0,485.0,older
-6,0.003425774688111408,0.006049431561927041,2021Q2,24861.0,485.0,older
-5,-0.00235734672532599,0.00538819675156583,2021Q3,24861.0,485.0,older
-4,0.002851763292072462,0.005794813497985891,2021Q4,24861.0,485.0,older
-3,-0.00027064979457892336,0.004400494738513008,2022Q1,24861.0,485.0,older
-2,0.0036011558747016145,0.0036642687747997886,2022Q2,24861.0,485.0,older
-1,-0.004191857611918505,0.0030580109381245935,2022Q3,24861.0,485.0,older
0,0.0,0.0,2022Q4,,,older
1,-0.0008064935941845648,0.0036121773938209644,2023Q1,24861.0,485.0,older
2,-0.0024968841673090763,0.004297722957805337,2023Q2,24861.0,485.0,older
3,-0.012318588738126607,0.0039296301008214865,2023Q3,24861.0,485.0,older
4,-0.0032343750438553003,0.003950416609604542,2023Q4,24861.0,485.0,older
5,-0.0032902471593766716,0.0037673459635517645,2024Q1,24861.0,485.0,older
6,-0.007857165679814577,0.00492418283667006,2024Q2,24861.0,485.0,older
7,-0.007840689777401991,0.004219895671017139,2024Q3,24861.0,485.0,older
8,-0.01393976855835171,0.005071998850994265,2024Q4,24861.0,485.0,older
9,-0.007821705434831109,0.0038327616723585096,2025Q1,24861.0,485.0,older
10,-0.009139133242472178,0.004943145325991136,2025Q2,24861.0,485.0,older
11,-0.008286574494655552,0.005009131001549418,2025Q3,24861.0,485.0,older
12,-0.006969587728580834,0.004222069630274021,2025Q4,24861.0,485.0,older
13,-0.0010872181811891145,0.0038297632494120786,2026Q1,24861.0,485.0,older
14,-0.008999427967659677,0.004657198379164886,2026Q2,24861.0,485.0,older
-7,-0.007319144213113193,0.02946066278283004,2021Q1,2835.0,31.0,country_ARG
-6,0.015714503848554863,0.017662416208492588,2021Q2,2835.0,31.0,country_ARG
-5,-0.004546576187515132,0.01560961956200572,2021Q3,2835.0,31.0,country_ARG
-4,-0.004555304916501458,0.020090168092636234,2021Q4,2835.0,31.0,country_ARG
-3,0.010151974808087095,0.012399225725940391,2022Q1,2835.0,31.0,country_ARG
-2,0.0054533840493366445,0.013128049767618352,2022Q2,2835.0,31.0,country_ARG
-1,-0.01514301497094879,0.010626227346643142,2022Q3,2835.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.007421273132936827,0.014203089953345639,2023Q1,2835.0,31.0,country_ARG
2,-0.009642728103908517,0.011407829350106998,2023Q2,2835.0,31.0,country_ARG
3,-0.0078901285988182,0.012276284300505232,2023Q3,2835.0,31.0,country_ARG
4,0.0014280293524382912,0.010549920319880144,2023Q4,2835.0,31.0,country_ARG
5,-0.0013364636606382728,0.012528968697214756,2024Q1,2835.0,31.0,country_ARG
6,0.01764238394043725,0.011962629586909555,2024Q2,2835.0,31.0,country_ARG
7,0.0078032290227611385,0.012648120508519642,2024Q3,2835.0,31.0,country_ARG
8,0.0036697985364586884,0.017232404168892816,2024Q4,2835.0,31.0,country_ARG
9,-0.007720229239997774,0.01886308750826271,2025Q1,2835.0,31.0,country_ARG
10,-0.010096170953274392,0.008658840913060236,2025Q2,2835.0,31.0,country_ARG
11,0.00859570519361736,0.01219645725640346,2025Q3,2835.0,31.0,country_ARG
12,-0.005549061840695764,0.012261739868492778,2025Q4,2835.0,31.0,country_ARG
13,0.019201520289331826,0.017057563157960972,2026Q1,2835.0,31.0,country_ARG
-7,-0.006144582700860995,0.008797362256364813,2021Q1,14960.0,111.0,country_BRA
-6,-0.0005579731879080049,0.007486525876778617,2021Q2,14960.0,111.0,country_BRA
-5,0.00037711127786239603,0.005598421458089619,2021Q3,14960.0,111.0,country_BRA
-4,0.0068635401836013715,0.00700853237813227,2021Q4,14960.0,111.0,country_BRA
-3,0.008407008242254902,0.005889186642865835,2022Q1,14960.0,111.0,country_BRA
-2,0.008083744997839606,0.0053390533598569045,2022Q2,14960.0,111.0,country_BRA
