k,coef,se,period,n_cells,n_clusters,subset
-7,-0.009723334809616456,0.006067597226724844,2021Q1,35807.0,410.0,all
-6,0.004567875132285125,0.006019018977979818,2021Q2,35807.0,410.0,all
-5,0.0021211485617916802,0.004561510330468839,2021Q3,35807.0,410.0,all
-4,0.007196656531609839,0.005039701976007778,2021Q4,35807.0,410.0,all
-3,0.0043034423388400595,0.0036697803936099737,2022Q1,35807.0,410.0,all
-2,0.005692027313471173,0.003484257462072415,2022Q2,35807.0,410.0,all
-1,-0.0018063252583608717,0.0030186004844881347,2022Q3,35807.0,410.0,all
0,0.0,0.0,2022Q4,,,all
1,0.0007753523825360386,0.0031026233089993774,2023Q1,35807.0,410.0,all
2,-0.0021928088607567117,0.0031799243801330134,2023Q2,35807.0,410.0,all
3,-0.007685434525325012,0.0037761285354051886,2023Q3,35807.0,410.0,all
4,-0.004804597938715219,0.0036302254573054695,2023Q4,35807.0,410.0,all
5,-0.004883771622334423,0.0032433158743101,2024Q1,35807.0,410.0,all
6,-0.005465539074369247,0.0038266859869512666,2024Q2,35807.0,410.0,all
7,-0.007475372846898915,0.0037133774318529713,2024Q3,35807.0,410.0,all
8,-0.009277846533006884,0.004010606660976452,2024Q4,35807.0,410.0,all
9,-0.003165471460265585,0.0037316058502678035,2025Q1,35807.0,410.0,all
10,-0.006304267115840514,0.003986191672836117,2025Q2,35807.0,410.0,all
11,-0.003209897611348774,0.004051250207183046,2025Q3,35807.0,410.0,all
12,-0.005311033686924982,0.0034942635386515405,2025Q4,35807.0,410.0,all
13,0.0028599785958747254,0.003897752889269814,2026Q1,35807.0,410.0,all
14,-0.0037172586491019586,0.004318776280757104,2026Q2,35807.0,410.0,all
-7,-0.03440772372133777,0.012391198486560447,2021Q1,14297.0,236.0,young
-6,0.00035290912841812254,0.012010561310126427,2021Q2,14297.0,236.0,young
-5,0.006519332814750935,0.00931110714668574,2021Q3,14297.0,236.0,young
-4,0.012998412953487712,0.011012086030353667,2021Q4,14297.0,236.0,young
-3,0.012815686980660122,0.00832042274823161,2022Q1,14297.0,236.0,young
-2,0.008577658017716929,0.008016436903780405,2022Q2,14297.0,236.0,young
-1,0.0009789472679143994,0.008274666068140727,2022Q3,14297.0,236.0,young
0,0.0,0.0,2022Q4,,,young
1,0.001111913187726592,0.007456370778156405,2023Q1,14297.0,236.0,young
2,-0.013069550211379139,0.007079485880026917,2023Q2,14297.0,236.0,young
3,-0.009161193700001652,0.00991803831310758,2023Q3,14297.0,236.0,young
4,-0.014553003381192187,0.009109164361879704,2023Q4,14297.0,236.0,young
5,-0.012326339542184067,0.007550493860936749,2024Q1,14297.0,236.0,young
6,-0.009096896477897014,0.010280920141567649,2024Q2,14297.0,236.0,young
7,-0.01779405859377046,0.008200354223794533,2024Q3,14297.0,236.0,young
8,-0.009037711299499918,0.008376557143724388,2024Q4,14297.0,236.0,young
9,-0.00786717067862593,0.00925964259967987,2025Q1,14297.0,236.0,young
10,-0.014512630220617193,0.008734679294318997,2025Q2,14297.0,236.0,young
11,-0.008643190242553231,0.008723343052747759,2025Q3,14297.0,236.0,young
12,-0.010922236127533633,0.008692914904887106,2025Q4,14297.0,236.0,young
13,0.003589548540002891,0.009915131810555453,2026Q1,14297.0,236.0,young
14,-0.008231020881426016,0.010757115417070669,2026Q2,14297.0,236.0,young
-7,-0.0013207824523691837,0.005408492514884722,2021Q1,21510.0,410.0,older
-6,0.005861799866831461,0.005599125605178947,2021Q2,21510.0,410.0,older
-5,0.0006079013459070393,0.004951306241059331,2021Q3,21510.0,410.0,older
-4,0.0052275858847026105,0.004992248027709493,2021Q4,21510.0,410.0,older
-3,0.0015244193323129052,0.0037545655484793002,2022Q1,21510.0,410.0,older
-2,0.00483664469649501,0.0032468060027803576,2022Q2,21510.0,410.0,older
-1,-0.002631958870801892,0.002864203546753188,2022Q3,21510.0,410.0,older
0,0.0,0.0,2022Q4,,,older
1,0.0006019835353452842,0.0032072032596936724,2023Q1,21510.0,410.0,older
2,0.001031365135929245,0.0035522939146367103,2023Q2,21510.0,410.0,older
3,-0.007247977735374737,0.003658992598644472,2023Q3,21510.0,410.0,older
4,-0.0019148946421495175,0.003564576309607335,2023Q4,21510.0,410.0,older
5,-0.002577871514969953,0.0034092161096142205,2024Q1,21510.0,410.0,older
6,-0.0043891019563295774,0.0039662171735931765,2024Q2,21510.0,410.0,older
7,-0.004416622326630884,0.003896390482147716,2024Q3,21510.0,410.0,older
8,-0.009349029413118062,0.004456644483649835,2024Q4,21510.0,410.0,older
9,-0.0017331075701693846,0.003702063288097196,2025Q1,21510.0,410.0,older
10,-0.003871075958245977,0.004306737067004467,2025Q2,21510.0,410.0,older
11,-0.001599315889010393,0.004334263635384875,2025Q3,21510.0,410.0,older
12,-0.003647714461436947,0.0037687702263249534,2025Q4,21510.0,410.0,older
13,0.002561354673023889,0.0035403090683508646,2026Q1,21510.0,410.0,older
14,-0.0023608087760041124,0.00406910008698848,2026Q2,21510.0,410.0,older
-7,-0.00531548830539897,0.02672742680989237,2021Q1,2772.0,31.0,country_ARG
-6,0.012686784378876687,0.017904800962963735,2021Q2,2772.0,31.0,country_ARG
-5,-0.0006318932453090037,0.016732994249772204,2021Q3,2772.0,31.0,country_ARG
-4,0.004679894363001126,0.018176635366278057,2021Q4,2772.0,31.0,country_ARG
-3,0.017246882430380455,0.013533477681597307,2022Q1,2772.0,31.0,country_ARG
-2,0.012367248031653046,0.012668861877279763,2022Q2,2772.0,31.0,country_ARG
-1,-0.004104704363463316,0.011261114672629647,2022Q3,2772.0,31.0,country_ARG
0,0.0,0.0,2022Q4,,,country_ARG
1,0.011052132677866436,0.015594590349826213,2023Q1,2772.0,31.0,country_ARG
2,-0.00888430017549479,0.011850196494034402,2023Q2,2772.0,31.0,country_ARG
3,0.007032558700347198,0.013824516139121024,2023Q3,2772.0,31.0,country_ARG
4,0.005936172128163976,0.010603143707432818,2023Q4,2772.0,31.0,country_ARG
5,-0.0013410723697672919,0.011811346178500595,2024Q1,2772.0,31.0,country_ARG
6,0.01571440687940079,0.011545503542776142,2024Q2,2772.0,31.0,country_ARG
7,0.015089366666908077,0.011504766496041614,2024Q3,2772.0,31.0,country_ARG
8,0.013291225346030548,0.015362853452939277,2024Q4,2772.0,31.0,country_ARG
9,-0.0033334891326778637,0.017929346746885743,2025Q1,2772.0,31.0,country_ARG
10,-0.008573997193635143,0.008917216873746728,2025Q2,2772.0,31.0,country_ARG
11,0.008160440653397612,0.010725485281529903,2025Q3,2772.0,31.0,country_ARG
12,-0.004607941469251933,0.012218171000333905,2025Q4,2772.0,31.0,country_ARG
13,0.02897909469589275,0.016388244065472804,2026Q1,2772.0,31.0,country_ARG
-7,-0.005354208560334393,0.007681346426778252,2021Q1,14960.0,111.0,country_BRA
-6,0.004748989422099659,0.006790481260655716,2021Q2,14960.0,111.0,country_BRA
-5,0.00397281054658697,0.005259987881361912,2021Q3,14960.0,111.0,country_BRA
-4,0.01006274203301643,0.005873431196626905,2021Q4,14960.0,111.0,country_BRA
-3,0.008427836726433052,0.005202979282266152,2022Q1,14960.0,111.0,country_BRA
-2,0.008479285153058706,0.004452203086243638,2022Q2,14960.0,111.0,country_BRA
-1,0.0004139114179873864,0.003926017262781566,2022Q3,14960.0,111.0,country_BRA
0,0.0,0.0,2022Q4,,,country_BRA
1,0.004507006816506572,0.0036783362776549393,2023Q1,14960.0,111.0,country_BRA
2,-0.0018481406334490682,0.003866473463298378,2023Q2,14960.0,111.0,country_BRA
3,-0.010211821940075059,0.004598247716286771,2023Q3,14960.0,111.0,country_BRA
4,-0.008431683969603034,0.004661460561154051,2023Q4,14960.0,111.0,country_BRA
5,-0.005441212230941325,0.004211752223447363,2024Q1,14960.0,111.0,country_BRA
6,-0.006866597142837481,0.0048415391441746555,2024Q2,14960.0,111.0,country_BRA
7,-0.012427000248872376,0.004411536957181651,2024Q3,14960.0,111.0,country_BRA
8,-0.011423875764825701,0.005002888567539011,2024Q4,14960.0,111.0,country_BRA
9,-0.0026929259968609186,0.0050410310006979,2025Q1,14960.0,111.0,country_BRA
10,-0.0069110677417612175,0.0052949424088763325,2025Q2,14960.0,111.0,country_BRA
11,-0.004056824668564848,0.005343125271046608,2025Q3,14960.0,111.0,country_BRA
12,-0.004052876409996808,0.004522832738715847,2025Q4,14960.0,111.0,country_BRA
13,0.0011427122342189016,0.00517436663124662,2026Q1,14960.0,111.0,country_BRA
14,-0.004093762653649647,0.005278493018256691,2026Q2,14960.0,111.0,country_BRA
-3,-0.020646714055913132,0.006441472481805229,2022Q1,8892.0,101.0,country_COL
-2,-0.004675649963242975,0.007142965036132712,2022Q2,8892.0,101.0,country_COL
-1,-0.01145434492875186,0.007474566765733183,2022Q3,8892.0,101.0,country_COL
0,0.0,0.0,2022Q4,,,country_COL
1,-0.007138373046781359,0.007716204515625428,2023Q1,8892.0,101.0,country_COL
2,-0.00215079672398311,0.008636002407442538,2023Q2,8892.0,101.0,country_COL
3,-0.007855303278759064,0.008989556003080566,2023Q3,8892.0,101.0,country_COL
4,0.006761331788456921,0.008403808933394001,2023Q4,8892.0,101.0,country_COL
5,-0.016785773825435855,0.00792523738432034,2024Q1,8892.0,101.0,country_COL
6,-0.008873962843775576,0.008632391437638179,2024Q2,8892.0,101.0,country_COL
7,0.0035422910492223874,0.008447161746542095,2024Q3,8892.0,101.0,country_COL
8,-0.00759914448221482,0.007905321027721965,2024Q4,8892.0,101.0,country_COL
9,-0.017711357218981767,0.008574844877794195,2025Q1,8892.0,101.0,country_COL
10,-0.0051673968243576215,0.009193487766787292,2025Q2,8892.0,101.0,country_COL
11,-0.004361766871628282,0.008653402298433,2025Q3,8892.0,101.0,country_COL
12,-0.005847085629742738,0.007552068991372391,2025Q4,8892.0,101.0,country_COL
13,-0.013295416043786408,0.009678745185595155,2026Q1,8892.0,101.0,country_COL
14,-0.00711792174732455,0.009953573858429038,2026Q2,8892.0,101.0,country_COL
-5,-0.0017330788183911906,0.007173392139127881,2021Q3,5415.0,82.0,country_ECU
-4,-0.016668949645010055,0.005013509236154752,2021Q4,5415.0,82.0,country_ECU
-3,-0.010982252069563644,0.0049399976461179185,2022Q1,5415.0,82.0,country_ECU
-2,-0.010245709733834107,0.005818385110520414,2022Q2,5415.0,82.0,country_ECU
-1,0.00406102262967456,0.008103882659359237,2022Q3,5415.0,82.0,country_ECU
0,0.0,0.0,2022Q4,,,country_ECU
1,-0.004060429223003106,0.0069238882907919535,2023Q1,5415.0,82.0,country_ECU
2,0.01160553001770167,0.006188517021273943,2023Q2,5415.0,82.0,country_ECU
3,0.020975730035722763,0.009720108489741364,2023Q3,5415.0,82.0,country_ECU
4,-0.0050671077671113895,0.008519050075323217,2023Q4,5415.0,82.0,country_ECU
5,0.016441399984451488,0.011353671091450078,2024Q1,5415.0,82.0,country_ECU
6,0.00025259500830844203,0.005275045832062013,2024Q2,5415.0,82.0,country_ECU
7,-0.005557400017120653,0.004202767257175813,2024Q3,5415.0,82.0,country_ECU
8,0.00298321636964562,0.010348207712097638,2024Q4,5415.0,82.0,country_ECU
9,-0.004444878120267434,0.008396240288042534,2025Q1,5415.0,82.0,country_ECU
10,-0.006903688501152198,0.008294870519447328,2025Q2,5415.0,82.0,country_ECU
11,-0.007277195224649955,0.005422795483018464,2025Q3,5415.0,82.0,country_ECU
12,0.0073909331395673565,0.006654096816315934,2025Q4,5415.0,82.0,country_ECU
13,0.014166110115643574,0.007261163191894946,2026Q1,5415.0,82.0,country_ECU
-7,-0.014854403946783832,0.007875768685316482,2021Q1,1932.0,39.0,country_MEX
-3,0.005283175653455143,0.003313662679345645,2022Q1,1932.0,39.0,country_MEX
0,0.0,0.0,2022Q4,,,country_MEX
1,-0.0023089576415877807,0.004062774507305997,2023Q1,1932.0,39.0,country_MEX
5,0.0016704542502023981,0.0029889733130289736,2024Q1,1932.0,39.0,country_MEX
9,0.002732251712502445,0.004321355943904237,2025Q1,1932.0,39.0,country_MEX
13,0.007477479972211631,0.0031014456653931793,2026Q1,1932.0,39.0,country_MEX
-3,0.012987684033219109,0.013251996944779708,2022Q1,1836.0,46.0,country_ZAF
-2,-0.000989492692989475,0.011180984487333883,2022Q2,1836.0,46.0,country_ZAF
-1,-0.003948700678433396,0.009153227894937535,2022Q3,1836.0,46.0,country_ZAF
0,0.0,0.0,2022Q4,,,country_ZAF
1,-0.0046663596147093105,0.009034895811972761,2023Q1,1836.0,46.0,country_ZAF
2,-0.0050113127051269555,0.015591392625860949,2023Q2,1836.0,46.0,country_ZAF
3,-0.01651694276805417,0.013963257034317878,2023Q3,1836.0,46.0,country_ZAF
4,-0.00664407379675271,0.01534248484930156,2023Q4,1836.0,46.0,country_ZAF
5,-0.01841118169905323,0.012966787574930454,2024Q1,1836.0,46.0,country_ZAF
6,-0.014769787454185671,0.012230895127464062,2024Q2,1836.0,46.0,country_ZAF
7,-0.010947278301359815,0.014738349546494669,2024Q3,1836.0,46.0,country_ZAF
8,-0.028499015634965985,0.013214572474827192,2024Q4,1836.0,46.0,country_ZAF
9,0.0011471434359036055,0.012754036845248222,2025Q1,1836.0,46.0,country_ZAF
10,0.0015714456981506027,0.014003637457419647,2025Q2,1836.0,46.0,country_ZAF
11,-0.0044558416689019125,0.013633716950923793,2025Q3,1836.0,46.0,country_ZAF
12,-0.02732313176425406,0.013246447097006453,2025Q4,1836.0,46.0,country_ZAF
13,-0.0007624356368031041,0.013878183124191043,2026Q1,1836.0,46.0,country_ZAF
14,-0.003248720362039364,0.014037596624768205,2026Q2,1836.0,46.0,country_ZAF
