k,coef,se,period,n_cells,n_clusters,subset
-5,-0.2702657202537803,0.08607525483053731,2021Q3,2940.0,67.0,all
-4,-0.29273311950969916,0.10259002257832613,2021Q4,2940.0,67.0,all
-3,-0.13375152109783653,0.07257203720100695,2022Q1,2940.0,67.0,all
-2,-0.008780146633220942,0.05971213550413667,2022Q2,2940.0,67.0,all
-1,-0.007832886883494258,0.020868115103508895,2022Q3,2940.0,67.0,all
0,0.0,0.0,2022Q4,,,all
1,0.0768435372410103,0.047473379953956604,2023Q1,2940.0,67.0,all
2,0.07969048611418937,0.05614641654989709,2023Q2,2940.0,67.0,all
3,0.07792991519710857,0.02978376937812879,2023Q3,2940.0,67.0,all
4,0.05805323439518569,0.028569289944187483,2023Q4,2940.0,67.0,all
5,0.07792902775329918,0.049981255624198966,2024Q1,2940.0,67.0,all
6,0.06226295654965691,0.06338941627329352,2024Q2,2940.0,67.0,all
7,0.07220562788221896,0.04978898580117683,2024Q3,2940.0,67.0,all
8,0.05057198793579036,0.04358885475805426,2024Q4,2940.0,67.0,all
-5,-0.37899668774510537,0.10670187969914506,2021Q3,952.0,25.0,young
-4,-0.20300342793742107,0.07458483053223727,2021Q4,952.0,25.0,young
-3,-0.23302437370555212,0.07341763978953245,2022Q1,952.0,25.0,young
-2,-0.06732949489506329,0.09059087184374676,2022Q2,952.0,25.0,young
-1,-0.13886720471565894,0.03893664324001582,2022Q3,952.0,25.0,young
0,0.0,0.0,2022Q4,,,young
1,-0.055942629182106844,0.10404928540541483,2023Q1,952.0,25.0,young
2,-0.024089028943947058,0.09357570519054383,2023Q2,952.0,25.0,young
3,-0.008385579582042462,0.04275257655825415,2023Q3,952.0,25.0,young
4,-0.0587724587932347,0.03954324372680642,2023Q4,952.0,25.0,young
5,-0.07162006208025931,0.06940704419234778,2024Q1,952.0,25.0,young
6,-0.010710411634701872,0.08654753515545108,2024Q2,952.0,25.0,young
7,0.04464523987098576,0.06242921134191019,2024Q3,952.0,25.0,young
8,0.008262042048062058,0.06052399202147154,2024Q4,952.0,25.0,young
-5,-0.2382207649914136,0.1125453426350623,2021Q3,1988.0,67.0,older
-4,-0.319178059883921,0.11939804012090229,2021Q4,1988.0,67.0,older
-3,-0.10449404097069896,0.09104433439484064,2022Q1,1988.0,67.0,older
-2,0.008475390487253244,0.05807304785153336,2022Q2,1988.0,67.0,older
-1,0.03078526348936616,0.02351631907354197,2022Q3,1988.0,67.0,older
0,0.0,0.0,2022Q4,,,older
1,0.11597798863665011,0.03924634522472522,2023Q1,1988.0,67.0,older
2,0.11027616003871868,0.05143008133774797,2023Q2,1988.0,67.0,older
3,0.1033686308865259,0.0317070203732286,2023Q3,1988.0,67.0,older
4,0.0924838496844019,0.03456229125845639,2023Q4,1988.0,67.0,older
5,0.12200381163330619,0.04806364886158928,2024Q1,1988.0,67.0,older
6,0.08376950958385766,0.06568715860561193,2024Q2,1988.0,67.0,older
7,0.08032816574986025,0.051407030206014,2024Q3,1988.0,67.0,older
8,0.06304148355794341,0.045204445682184895,2024Q4,1988.0,67.0,older
-5,-0.2702657202537803,0.08607525483053731,2021Q3,2940.0,67.0,country_IND
-4,-0.29273311950969916,0.10259002257832613,2021Q4,2940.0,67.0,country_IND
-3,-0.13375152109783653,0.07257203720100695,2022Q1,2940.0,67.0,country_IND
-2,-0.008780146633220942,0.05971213550413667,2022Q2,2940.0,67.0,country_IND
-1,-0.007832886883494258,0.020868115103508895,2022Q3,2940.0,67.0,country_IND
0,0.0,0.0,2022Q4,,,country_IND
1,0.0768435372410103,0.047473379953956604,2023Q1,2940.0,67.0,country_IND
2,0.07969048611418937,0.05614641654989709,2023Q2,2940.0,67.0,country_IND
3,0.07792991519710857,0.02978376937812879,2023Q3,2940.0,67.0,country_IND
4,0.05805323439518569,0.028569289944187483,2023Q4,2940.0,67.0,country_IND
5,0.07792902775329918,0.049981255624198966,2024Q1,2940.0,67.0,country_IND
6,0.06226295654965691,0.06338941627329352,2024Q2,2940.0,67.0,country_IND
7,0.07220562788221896,0.04978898580117683,2024Q3,2940.0,67.0,country_IND
8,0.05057198793579036,0.04358885475805426,2024Q4,2940.0,67.0,country_IND
